id,genre,track_name,artist_name,danceability,valence,energy,tempo
3Ua7O14g34JlkpisL2SKLk,afrobeat,Sinebar,Youssou N'Dour,0.525,0.638,0.895,147.317
7jAfqMJAQuObNZmXdd6BzK,afrobeat,Mbote Ya Pamba,Kékélé,0.752,0.828,0.725,144.032
2DrGFzrWGzAaIV3Q6vBOdC,afrobeat,Kadi Kadi,Ali Farka Touré,0.526,0.756,0.479,107.225
2ha70kafYrxpwKB2DHLTJT,afrobeat,Greetings,Various Artists,0.693,0.822,0.872,116.681
6O0P38dfkVUtTCRSgMEUPW,afrobeat,Tekere,Various Artists,0.779,0.95,0.91,112.966
3672j9qcUufXuGwVoXHaeK,alt-rock,Mrs. Robinson,The Lemonheads,0.495,0.837,0.936,107.394
6dukhmiEW9k5OZb195VvKC,alt-rock,Batalio rep,Various Artists,0.67,0.564,0.749,96.022
72HFZtXCLcRwYYQO0kJIvi,alt-rock,Tropical Ice-land,Various Artists,0.519,0.651,0.859,140.008
087OBLtoeS3Q6j0k6tMNAI,alt-rock,Closing Time,Semisonic,0.486,0.281,0.867,92.757
6DzrElyy0I3nqqInJRPXfz,alt-rock,Houston Hades,Stephen Malkmus & The Jicks,0.643,0.692,0.525,92.738
1fvGs20dhb5eyiAurPO75y,alt-rock,Push And Shove,No Doubt,0.576,0.513,0.897,122.917
1ftipfHchfh3Ke8PnPCu0B,alt-rock,Undeniable,Better Than Ezra,0.702,0.966,0.787,91.988
3L19vBWH4jTHNXbuBaHbUN,alt-rock,Feed the Tree,Belly,0.547,0.868,0.718,137.978
5Gtq8e6TEI0YDLemr3PbiM,alt-rock,Harlequin Press,John Vanderslice,0.788,0.609,0.457,106.01
6tb7flAIRdJVuUfdgwbhJa,alt-rock,Tahitian Moon,Perry Farrell,0.374,0.35,0.716,136.757
3sBfItjYrLgKrCPIZndhc6,alt-rock,Come to Me,The Goo Goo Dolls,0.589,0.421,0.669,92.06
3y9zMGuxWS8xkpOxNPfiMZ,alt-rock,Miss You Love,Silverchair,0.353,0.148,0.464,144.222
0TJiGLT3w6HRsd5SSdEUWZ,alt-rock,Angel In The Snow,Elliott Smith,0.313,0.183,0.226,72.018
2WqK4182RvloQDTJojmfVa,alt-rock,I Love A Magician,Dismemberment Plan,0.388,0.346,0.994,140.701
4o7ZPI2fmEi3piRe0Hrfpy,alt-rock,Hey Jealousy,Gin Blossoms,0.471,0.497,0.797,152.903
3SMDdwKyNonQwvCYoiFuBn,alt-rock,Crazy Lady,The Vaselines,0.37,0.737,0.817,123.619
5gw55IexPLnJMXaGs8s4Tc,alt-rock,I Don't Know Anything,Mad Season,0.337,0.436,0.899,177.236
5s8zZQ9G7XOoJygkfCHQ2h,alt-rock,Where I'm From,Eels,0.576,0.743,0.538,107.018
4T7fVN4ZOFE3JoGyaxZL6O,alt-rock,Falls Apart,Sugar Ray,0.561,0.599,0.897,103.461
32Cimaqis8qkGRMACGsOkh,alt-rock,I Will Steal You Back,Jimmy Eat World,0.377,0.317,0.781,161.888
2Dbjn30wUF9PHD9dXI3WFR,alt-rock,Recession,Chris Cornwell,0.769,0.297,0.415,98.91
4Tw53Ljw0JuQIGH0aJq9Zb,alt-rock,Ohm,Yo La Tengo,0.533,0.632,0.985,111.588
7c1Dar0pIAW7w5TzaGjt9t,alt-rock,Jane Says,Jane's Addiction,0.402,0.496,0.597,81.806
0q6LuUqGLUiCPP1cbdwFs3,alt-rock,On Melancholy Hill,Gorillaz,0.689,0.578,0.739,120.423
14lqSWHPau01MabFWu5R1i,alt-rock,Sway,Blue October,0.615,0.612,0.882,91.989
4m1cUjNq5ptDQ5TN9ce9QH,alt-rock,Lucy in the Sky with Diamonds (feat. Miley Cyrus & Moby),The Flaming Lips,0.21,0.0816,0.667,119.099
2v8sPwkqVDgWprsmGIis25,alt-rock,...Like Clockwork,Queens of the Stone Age,0.479,0.167,0.341,56.971
6zJyAMMY0Zl4ZzR3gVTqE8,alt-rock,Close to the Sun,Guano Apes,0.566,0.367,0.867,114.014
0lDoG5fQ9cmpvpenwR7Jln,alt-rock,Incinerate,Sonic Youth,0.446,0.455,0.866,152.172
1GM0KQbf5fGB0PmiRL3n2V,alt-rock,Walkin' On The Sun,Smash Mouth,0.738,0.967,0.973,123.12
6mH3sA9TMhgALjjWO0LXW2,alt-rock,1000hp,Godsmack,0.52,0.429,0.955,92.067
7FgEwvbXfGY0KYk8jtXVwx,alt-rock,Five of Everything,311,0.642,0.894,0.815,98.946
0tQ2LOgku0adqOUeQqSAMC,alt-rock,Do You Realize??,The Flaming Lips,0.47,0.563,0.837,129.962
1z7rvZQkZM1gdSp3meW3dW,alt-rock,Take Out the Gunman,Chevelle,0.569,0.471,0.766,84.956
1eukhqIpJ2HMETMmWvR9t0,alt-rock,Sweetest Kill,Broken Social Scene,0.576,0.726,0.389,175.867
3e2fDgC93LGc9Lbdvr6I9k,alt-rock,River Of Deceit,Mad Season,0.461,0.178,0.246,88.446
0jcqJ7xIUuirEbQFlhvOLm,alt-rock,Plowed,Various Artists,0.394,0.21,0.908,105.185
3JN8Emy2XVWWIuk7jJIWCR,alt-rock,She Walks,Poster Children,0.434,0.344,0.543,134.097
18eR1w9NXigoppVRpdc4yk,alt-rock,Da Vinci,Weezer,0.558,0.578,0.631,126.063
